ID,Dataset
rsxa-ify5,Contracts
s4vu-giwb,Payments
pasx-mnuv,Employee Indebtedness to the City of Chicago
6br9-quuz,Ordinance Violations
ydr8-5enu,Building Permits
22u3-xenr,Building Violations
6rq2-yx28,Array of Things Locations
p9p7-vfqc,Lobbyist Data: Contributions
5d79-9xqr,Lobbyist Data: Gifts
pahz-egmi,Lobbyist Data: Lobbying Activity
2eqz-3nvz,Lobbyist Data: Lobbyist-Employer-Client Combinations
tq3e-t5yq,Lobbyist Data: Lobbyists
ygr5-vcbg,Towed Vehicles
85ca-t3if,Traffic Crashes: Crashes
